Index	NumberPSM	Gene	MaxPepProb	ReferenceIntensity	WT1	KO1	WT2	KO2	WT3	KO3	WT4	KO4	WT5	KO5	WT6	MT	MT	MT	MT	MT
A0A075B5N7	1	Igkv6-13	1.0	14.553554470491573	13.108847350754502	14.828296494671207	13.34327857759615	14.408252596957224	13.183030754613245	15.810840730811117	13.478937880255282	15.409412264084148	13.660309300660241	17.05154410986448	14.049460628211055	15.793490322527399	13.025645574520725	NA	NA	NA
A0A075B5R1	1	Ighv5-17	1.0	12.899716338219086	12.966762489107422	12.851188960499497	12.534234985792125	12.958403823569345	12.58730829348195	13.500643719831247	12.690366860832867	13.174588885936792	12.803389411740412	12.953701393225234	12.369794451454167	NA	NA	NA	NA	NA
A0A075B5R2	1	Ighv7-3	1.0	13.411029689409833	13.074306278329903	13.341672638992483	13.112554002373253	13.118845262642147	13.14788364589961	14.05013161220817	13.070129050711477	13.893956347636566	13.566999882953345	14.547572440359687	13.337864499915236	14.105326197150175	NA	NA	NA	NA
A0A075B5S2	1	Ighv7-1	1.0	13.92781942215116	13.406063782973982	13.822040320292661	13.42963175524352	13.945100713793812	13.430865838124728	14.778059413746073	13.453875452587043	13.985586383582016	14.192712270355731	15.421861047597808	13.498820341659352	14.817699539562033	NA	NA	NA	NA
A0A075B5T2	1	Ighv6-3	1.0	11.930332863321171	11.68842583425034	12.507716191805109	11.391259597377745	11.264702332021852	11.5517678102016	12.669808698006475	11.496931014168611	11.934777702189846	11.777141875405297	13.052701950882382	11.203932821341528	NA	NA	NA	NA	NA
A0A087WPN7	1	Ighv13-2	0.9879	10.906315349742089	10.719801397456814	10.846190982268412	10.748044943799801	10.911837786256346	10.897649816617283	11.074431758115267	10.715740136318743	10.927532565992632	11.05716050150206	10.906644411916314	10.870167915617941	NA	NA	NA	NA	NA
A0A087WQ89	3	Misp3	1.0	15.625656763405171	15.872410348318214	15.138428825061272	15.80307423695136	15.945051372185244	15.691221372302884	14.997468822521396	15.754931873035954	15.895807784374588	15.586600043323223	15.165295731078029	15.770462523718093	14.91225213116247	15.218448564022147	NA	NA	NA
A0A0A6YXW6	1	Igha	0.9872	11.569521635821607	11.133818351745177	11.923554068646718	11.159517004708992	11.073108215948531	11.197968998332495	11.883215988515564	11.267738378801273	11.839282268830875	11.490698308160175	12.72379247948643	11.126001409928708	NA	NA	NA	NA	NA
A0A0G2JDV3	2	Gbp6	1.0	14.271649079644801	14.143545726380815	15.034127615206717	14.3330903950228	14.588808702379493	14.082692389422949	14.101405758173328	14.155060179906211	14.942527110534444	14.198837455707224	14.695136889051929	14.149914341403942	13.880513458649556	14.298118582117818	NA	NA	NA
A0A0J9YTR2	2	0610012G03Rik	1.0	13.644217173919886	13.76701907629914	13.703741713119086	13.80676724085654	13.642398144572677	13.682090209273056	12.756359205065612	13.682147290723464	13.446413696293556	13.786637198308677	13.106471371817166	13.694548719043368	NA	NA	NA	NA	NA
A0A0J9YUD5	9	Nup205	1.0	16.428543172272075	16.3791035986247	16.456839414800374	16.334451996002173	16.4256992760561	16.19295436502563	16.876561662155563	16.27221834890424	16.3757237958813	16.284898480394197	16.747538194998675	16.40186699491509	16.78143233000274	16.586277483569724	NA	NA	NA
A0A0U1RNF2	2	Lcmt1	0.9998	14.359505763663476	14.274367924663654	14.312765221016384	14.496972680622221	14.22154926752212	14.31102761748374	14.256119723644291	14.364139854252237	14.292445444469063	14.432497591852488	14.17112834786117	14.369351029110176	NA	NA	NA	NA	NA
A0A140T8M5	1	Igkv6-15	0.974	13.019325616315408	12.957759584555182	12.981314725747875	12.614781973281909	12.847856927788749	12.827747642132616	12.770416087006646	13.006648126291612	12.756464239325407	13.085674481215905	14.651238240178666	13.077392902739435	13.541656975774007	NA	NA	NA	NA
A0A140T8N3	1	Igkv13-84	0.9999	12.779797765703773	12.579338200823644	12.373225282183123	13.118019405946843	12.380567903831457	12.742262925684981	13.190038660231787	12.565319158150048	12.895572132082318	12.538094210091593	12.664723964050369	12.861577002321065	NA	NA	NA	NA	NA
A0A1L1SQU7	1	Fat1	0.9795	11.834004695235198	11.580809734379828	12.108947632475672	11.505813447216326	11.987064590865918	11.6068435363687	12.053375891298808	11.700775350920685	11.844967337243219	11.737351111631895	12.370934687273236	11.527430235374872	NA	NA	NA	NA	NA
A0A1L1SUI3	2	Slc37a4	1.0	13.381567300267685	13.347384493830711	13.229878955361736	13.31074301453575	13.520255438249501	13.433641390502679	13.155847127494656	13.650741476141453	13.023612899707494	13.466111405731843	13.176070827584576	13.22164246749906	NA	NA	NA	NA	NA
A0A286YCV9	13	Kif13b	1.0	16.964471303261682	16.916739029390534	17.11578078915276	16.946008055464304	16.95779127082535	16.899110600125145	17.37741131061718	16.844333252175655	16.92940528683923	16.99566879258069	17.148059442100813	16.92630637314277	16.989010913165227	16.936660489532063	NA	NA	NA
A0A286YCX6	4	Trappc8	1.0	14.440929514923878	14.36174254830037	14.398000688585462	14.435947802856747	14.479756715482246	14.654418553686963	14.300514539422288	14.402343432753161	14.356036122017837	14.45698914155372	14.209639950223394	14.477440258065245	NA	NA	NA	NA	NA
A0A2I3BR81	3	Nt5dc2	0.9999	14.663045938793184	14.655515046797152	14.61297452619803	14.707439355831	14.647138488617088	14.774832932572588	14.897879764332941	14.657223677274295	14.618483885176682	14.716530068633665	14.71421061678635	14.47325238013506	13.877872927773987	NA	NA	NA	NA
A0A338P6S8	1	Abi3bp	1.0	12.90967553522573	12.38233014706659	13.36400698502849	12.869071391635451	13.056964497272807	12.472545767869027	13.324369723209795	12.737762233493088	12.981027728651766	13.110655480043977	13.583717691606015	13.032180756542864	12.584653750781538	NA	NA	NA	NA
A0A494B9V8	1	Ptar1	0.9993	12.516354967263641	12.605378205780964	12.562416762201767	12.652029430441026	12.30846184271923	12.237594977865623	12.344823879269365	12.546267270036935	12.861110879127803	12.25979220591684	12.39379260290558	12.399530263437207	NA	NA	NA	NA	NA
A0A571BF69	14	Mgam	1.0	16.74524974469801	16.981212684195796	16.325967515616313	16.82588109015344	16.70242597963984	16.672484402324432	16.2305052555253	16.808322605373668	16.479606080774975	16.825806735485067	16.24947674346198	16.97743079899448	16.85104814390003	NA	NA	NA	NA
A0A5F8MPH8	4	Tnxb	1.0	14.881775509474089	14.5300830675293	15.191050473436093	14.71904081371773	14.939747049784804	14.857112569722734	14.553172666857813	14.980710747205421	14.806154717803391	15.003536986551197	15.052058190451284	15.154912624277404	14.483581125321882	NA	NA	NA	NA
A1L314	1	Mpeg1	0.9679	11.833228497984841	11.567943663695504	12.36423570375548	11.593827837792698	11.836228559792955	11.340258908040807	12.71870486985349	11.283619922996527	11.837304959114505	11.322930444817468	12.369327701876914	11.149151102701023	NA	NA	NA	NA	NA
A1L317	1	Krt24	0.9719	13.83154842669261	13.857453589868362	14.030734457152843	13.869881924196697	13.878654542854234	14.013322775428557	13.892444718992532	13.883756735906859	13.86583083727384	14.015623873865266	13.825908285276112	13.819046692248458	13.713404182745753	NA	NA	NA	NA
A2A432	4	Cul4b	1.0	15.040087770318621	14.871422746177425	14.947807716947949	14.895106589438749	15.254391693301443	15.153917023346281	14.986629442046324	15.202497600858829	14.985314547754184	15.090538428914686	15.334565338975679	15.008571554516612	15.047113483326699	NA	NA	NA	NA
A2A484	1	Zmynd8	0.9999	11.237175427805463	10.892686320565415	10.589872937536223	11.34221863317846	11.052676454607564	11.21295735052984	11.11577264933679	11.222569038783643	11.19410408535755	11.414717455658085	11.346257769983888	11.536060596496792	NA	NA	NA	NA	NA
A2A5N3	1	Pabpc1l	0.9885	12.154282397563694	12.255654192567935	12.404297483470094	12.11010177458691	12.01246459621963	11.85199463454961	12.15602807999681	11.982837430901451	12.078723132587207	12.213634755649133	11.944405638535912	12.104335081551252	NA	NA	NA	NA	NA
A2A5R2	3	Arfgef2	1.0	14.902598973768857	15.164010114957646	15.009853552305149	15.05356833238425	14.98627325806031	15.149682973614443	14.688205927348305	15.061907448144453	14.979328661676625	14.902411154953317	14.545337154065773	15.09425132084432	14.757810942673832	14.116242914038226	NA	NA	NA
A2A5Z6	1	Smurf2	1.0	13.543303678798459	13.693560144938063	13.592432109521585	13.773121518394573	13.708748445249926	13.713997929183591	13.756456133889039	13.75230270858869	13.812774565834951	13.638363568915539	13.849533361145237	13.869940938151332	13.546495362483155	13.42834068121768	NA	NA	NA
A2A690	2	Tanc2	0.9999	12.350974151363497	12.42326288191884	12.102727420212664	12.166963580686401	12.356128496628052	12.585622692188714	11.91091605305462	12.507554318024834	12.473741377140886	12.393367732610052	11.898539088639028	12.385649916013312	NA	NA	NA	NA	NA
A2A7B5	3	Prdm2	1.0	13.054971316216303	12.82296972028474	12.940386121395534	12.986292437568022	13.052922952191762	12.98718734547561	13.248597799360843	12.891955981795714	12.962181141081716	12.830904745538092	12.92674272430723	13.16428261958051	NA	NA	NA	NA	NA
A2A7S8	5	Kiaa1522	1.0	14.957815447244982	14.898007490194953	14.904897659425185	14.685706513259694	14.970403693726547	14.915928327177479	15.263122821072857	14.75447200724761	14.769344226248082	14.923780842923254	15.199362404177377	14.794733923094261	NA	NA	NA	NA	NA
A2A863	2	Itgb4	1.0	13.592905119618148	12.826580401492519	13.85334673725882	12.661547254828552	13.467401966637013	13.207977669444253	15.172329947819494	12.64858146568862	13.85523120196051	13.140057153392496	14.79620779157333	12.812060057230694	14.034868889870262	NA	NA	NA	NA
A2A8L5	4	Ptprf	1.0	14.161271199892974	14.238361986553878	14.182156303689785	14.168189131146756	14.225379451542254	14.148308065503947	14.250247935140257	14.179858879910444	14.291771353032624	14.029266389132797	14.146640851175755	14.174236753969982	14.534387018484503	14.953964018587596	NA	NA	NA
A2A8Z1	4	Osbpl9	1.0	15.216211249734624	15.13412569343273	15.308338075680654	15.062236793231705	15.248548109061657	15.149203738777052	15.092121111776592	15.205357595231435	15.170506180786253	15.21349537617243	15.215284965054748	15.367258462954036	NA	NA	NA	NA	NA
A2A9C3	1	Szt2	0.992	10.598029425317968	10.826297949454538	10.65474202872265	10.470797067730427	10.596152196869532	10.11225399216631	10.760674727277127	11.007866936996257	10.594162965791167	10.378458797225825	10.157005396909137	10.31020512195254	NA	NA	NA	NA	NA
A2AAY5	5	Sh3pxd2b	1.0	14.838882558418312	14.606614004208208	15.085464827231082	14.601027695540512	14.87584414111493	14.7087190585664	15.330446090582827	14.765664545691854	14.951626588366562	14.795726669222137	15.497721859465646	14.742507896177127	15.925918728976947	14.114808182536374	NA	NA	NA
A2ADY9	10	Ddi2	1.0	17.60716171845102	17.55997589660138	17.670278739570435	17.6195089496938	17.771333855577137	17.541159375722774	17.588422265871497	17.549657617209448	17.603863206024556	17.628538993040216	17.524908653156874	17.72482648112164	17.692399844106788	16.70539357922538	NA	NA	NA
A2AGT5	3	Ckap5	1.0	14.383353167071455	14.376252477490677	14.494993900839907	14.506852730718414	14.618421299922572	14.260031013319585	14.418372635504097	14.216059703964804	14.396890230853598	14.526835562035982	14.471483355771662	14.420304505945085	14.464066212228902	15.0440377490687	NA	NA	NA
A2AHC3	1	Camsap1	0.9779	11.209705156193952	11.124068018025289	11.529594599867918	11.13940488231549	11.141861873523077	11.382756144248633	10.87049246981032	11.155721326368498	11.144504476770368	10.978376263752823	11.177287199895684	11.316438804507797	NA	NA	NA	NA	NA
A2AHG0	2	Lzts3	1.0	14.107105932186661	14.080147074657091	14.1112563387035	14.222084463648075	14.165016222129871	14.113406126116997	13.84153517066731	13.89878369356286	14.197918274245572	14.103501622676317	13.75515037667287	14.182715089800983	NA	NA	NA	NA	NA
A2AI08	2	Tprn	1.0	12.365130761248619	12.305145898636262	12.51335513216123	12.386763522554674	12.459277968834456	12.34758455248469	12.705707813134769	12.128668614569264	12.272065967234226	12.334185291914688	12.4626190435158	12.264218255324538	13.443911436654867	NA	NA	NA	NA
A2AIG8	1	Accs	1.0	11.975246682886944	11.767656743283405	11.9293432909355	11.919732983935129	12.203157346540893	11.621201301635244	12.00429043738668	12.138610062699666	12.059254490269092	11.773666823571036	12.050901602620348	11.861857011963869	NA	NA	NA	NA	NA
A2AIL4	2	Ndufaf6	0.9998	14.822220737491003	14.923249834602132	14.315373319193387	15.009126603127003	14.923045244190519	14.869178916516624	13.45769418473441	14.857483125612163	14.381433815742874	15.036048833299636	14.388431008587363	15.245135498050807	NA	NA	NA	NA	NA
A2AJ15	3	Man1b1	1.0	13.946255237879333	14.02090199248708	14.149989967784787	13.813068916060715	14.09017705385489	13.794192118903295	14.154364855646476	14.024935699106031	14.01539150692581	13.9931567847853	14.355816218779905	14.069483017242066	13.314083499617963	13.685884211255958	NA	NA	NA
A2AJI0	1	Map7d1	0.9998	12.348938202362781	12.731963335107759	13.202656628557229	12.341478825107947	12.669551955578028	12.568626206606346	13.3166041748985	12.553704108124547	12.81180397752347	12.558505258105585	13.336262727929729	12.639138557985492	14.450999876645742	15.287283762793905	13.617936667066193	12.348938202362781	13.880268836184754
