Group	SubGroup	Protein	Protein ID	Entry Name	Gene	Length	Percent Coverage	Organism	Protein Description	Protein Existence	Protein Probability	Top Peptide Probability	Total Peptides	Unique Peptides	Razor Peptides	Total Spectral Count	Unique Spectral Count	Razor Spectral Count	Total Intensity	Unique Intensity	Razor Intensity	Razor Assigned Modifications	Razor Observed Modifications	Indistinguishable Proteins	WT1	KO1	WT2	KO2	WT3	KO3	WT4	KO4	WT5	KO5	WT6	MT	MT	MT	MT	MT
1	a	sp|A2A432|CUL4B_MOUSE	A2A432	CUL4B_MOUSE	Cul4b	970	4.90	Mus musculus (Mouse) OX=10090	Cullin-4B 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	13K(304.2072), 17K(304.2072), 2K(304.2072), 4K(304.2072), 8K(304.2072)			34121.0106	26927.2028	48046.2258	43183.1051	33950.6083	27910.1863	41717.5565	28363.7136	41018.0555	29185.3911	27098.1077	586.9169	0.0000	0.0000	0.0000	0.0000
2	a	sp|A2A5R2|BIG2_MOUSE	A2A5R2	BIG2_MOUSE	Arfgef2	1792	8.10	Mus musculus (Mouse) OX=10090	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 	1:Experimental evidence at protein level	1.0000	0.9990	11	6	11	14	6	14	464131	     0	464131	10K(304.2072), 15K(304.2072), 2C(57.0215), 4K(304.2072), 5K(304.2072), 7K(304.2072), 9K(304.2072), N-term(42.0106)			140309.8002	102371.5224	171454.6902	126877.6193	115079.4053	98383.7226	133714.1874	105198.9916	136871.9169	83045.0959	105747.3210	802.4009	1103.3907	0.0000	0.0000	0.0000
3	a	sp|A2A690|TANC2_MOUSE	A2A690	TANC2_MOUSE	Tanc2	1994	2.30	Mus musculus (Mouse) OX=10090	Protein TANC2 	1:Experimental evidence at protein level	1.0000	0.9989	3	3	3	3	3	3	     0	     0	     0	11K(304.2072), 5K(304.2072)			7067.5255	4679.1920	7395.7232	7030.4106	7015.2230	3910.3064	7114.3989	6311.0335	7206.3920	3171.7075	5405.0394	0.0000	0.0000	0.0000	0.0000	0.0000
4	a	sp|A2A7S8|K1522_MOUSE	A2A7S8	K1522_MOUSE	Kiaa1522	1013	11.30	Mus musculus (Mouse) OX=10090	Uncharacterized protein KIAA1522 	1:Experimental evidence at protein level	1.0000	0.9990	7	7	7	9	9	9	206637	206637	206637	12K(304.2072), 14K(304.2072), 20K(304.2072), N-term(304.2072)			43395.1561	36235.1504	52876.3538	47166.6462	39899.6205	43259.4648	44039.6816	35173.4005	46973.9031	35307.8751	34915.1392	0.0000	0.0000	0.0000	0.0000	0.0000
5	a	sp|A2A863|ITB4_MOUSE	A2A863	ITB4_MOUSE	Itgb4	1818	2.90	Mus musculus (Mouse) OX=10090	Integrin beta-4 	1:Experimental evidence at protein level	1.0000	0.9990	3	3	3	4	4	4	     0	     0	     0	11C(57.0215), 15K(304.2072), 25K(304.2072), N-term(304.2072)			15055.3091	17171.0444	18431.4343	18352.6707	14727.6627	41013.4333	13864.4922	18473.7642	17906.5030	26285.8498	11794.6826	715.7146	0.0000	0.0000	0.0000	0.0000
6	a	sp|A2A8Z1|OSBL9_MOUSE	A2A8Z1	OSBL9_MOUSE	Osbpl9	736	6.40	Mus musculus (Mouse) OX=10090	Oxysterol-binding protein-related protein 9 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	     0	     0	     0	17K(304.2072), 1K(304.2072), 3K(304.2072), 5K(304.2072), 7K(304.2072), 8C(57.0215)			38950.1157	35111.8184	49680.7285	43413.8120	36239.3052	29622.9092	43115.2915	32359.4038	44079.7271	26525.0737	39626.6226	0.0000	0.0000	0.0000	0.0000	0.0000
7	a	sp|A2AAY5|SPD2B_MOUSE	A2AAY5	SPD2B_MOUSE	Sh3pxd2b	908	6.90	Mus musculus (Mouse) OX=10090	SH3 and PX domain-containing protein 2B 	1:Experimental evidence at protein level	1.0000	0.9990	5	5	5	5	5	5	130510	130510	130510	1K(304.2072), 2K(304.2072), 4K(304.2072), 6K(304.2072), 7K(304.2072), 9K(304.2072)			30045.7700	31454.8822	36483.7252	35710.3040	26581.8453	34890.7352	30911.3625	28434.7218	32556.6150	33683.3660	24984.2072	1087.3120	277.9825	0.0000	0.0000	0.0000
8	a	sp|A2AB59|RHG27_MOUSE	A2AB59	RHG27_MOUSE	Arhgap27	869	2.90	Mus musculus (Mouse) OX=10090	Rho GTPase-activating protein 27 	1:Experimental evidence at protein level	1.0000	0.9988	3	3	3	3	3	3	     0	     0	     0	7C(57.0215)			4829.5808	3340.9943	5676.4522	4826.8489	4434.6052	3073.2768	5045.7174	2624.5297	4183.8104	2635.1220	3709.6533	0.0000	0.0000	0.0000	0.0000	0.0000
9	a	sp|A2ADY9|DDI2_MOUSE	A2ADY9	DDI2_MOUSE	Ddi2	399	43.10	Mus musculus (Mouse) OX=10090	Protein DDI1 homolog 2 	1:Experimental evidence at protein level	1.0000	0.9990	10	10	10	16	16	16	687233	687233	687233	12K(304.2072), 13K(304.2072), 14K(304.2072), 2K(304.2072), 3C(57.0215), 6K(304.2072), 8K(304.2072), N-term(304.2072)			308872.7571	225955.3132	387435.7372	324893.7545	247741.8451	230680.8795	286094.6524	252838.8846	316364.5110	194055.1017	269077.1432	5056.8461	1010.8148	0.0000	0.0000	0.0000
10	a	sp|A2AGT5|CKAP5_MOUSE	A2AGT5	CKAP5_MOUSE	Ckap5	2032	2.60	Mus musculus (Mouse) OX=10090	Cytoskeleton-associated protein 5 	1:Experimental evidence at protein level	1.0000	0.9990	4	4	4	4	4	4	168360	168360	168360	3K(304.2072), 6K(304.2072), 9K(304.2072), N-term(304.2072)			26418.0745	21626.4133	36284.9734	28404.9167	21682.9572	20513.9644	23396.5142	20790.4619	30089.2451	18664.4758	21050.6587	253.1812	356.4542	0.0000	0.0000	0.0000
